REFERENCE;ETABLISSEMENT;RESEAU;ACTIVIT;CONTACT;EMAILCONTACT;SITEWEB;TELEPHONE;FAX;HANDICAPS;CODEPOSTAL;ADRESSE;REGION;DEPARTEMENT;VILLE
2013-09680;Hôtel Courtyard By Marriott Paris Saint Denis;Tourisme et Handicap;Hôtel;M. Peter Reischl;cy.parsd.event@courtyard.com;;158349131;;"auditif ; moteur ; mental";93200;34 Bd de la Libération Contact : Frédéric Schaub;Ile-de-France;SEINE-SAINT-DENIS;SAINT DENIS
2013-09681;Hôtel Ibis Stade Sud;Tourisme et Handicap;Hôtel;M. Olivier Mace;h2792@accor.com;http://www.accorhotels.com;155933600;155933600;"moteur ; mental";93210;Rue de la Cokerie;Ile-de-France;SEINE-SAINT-DENIS;SAINT DENIS LA PLAINE
2013-09682;Stade de France;Tourisme et Handicap;Structure diverse;M. Rosselet;infotmf@topmanagement.fr;http://www.stadefrance.com;155932300;155930003;"auditif ; mental ; moteur";93216;Zac du Cornillon Nord;Ile-de-France;SEINE-SAINT-DENIS;SAINT DENIS LA PLAINE
2013-09683;Hôtel Ibis Stade Ouest Saint Denis;Tourisme et Handicap;Hôtel;M. Idoux;h1940-GM@accor.com;http://www.ibis.com;148094810;148098514;mental;93200;20 rue Jules Saulnier;Ile-de-France;SEINE-SAINT-DENIS;SAINT DENIS
2013-09684;Suite Novotel de Saint Denis;Tourisme et Handicap;Hôtel;M. Hamdini;h3325-gm@accor.com;http://www.suite-hotel.com;149465454;149463940;"auditif ; visuel ; moteur ; mental";93200;31 rue Jules Rimet;Ile-de-France;SEINE-SAINT-DENIS;SAINT DENIS
2013-09685;Chambres d'hôtes de Me Bernard;Tourisme et Handicap;Chambre d'hôtes;Mme Bernard;contact@lejardindaristide.fr;http://www..lejardindaristide.fr;667708754;;"auditif ; mental";94500;133 bd Aristide Briand;Ile-de-France;VAL-DE-MARNE;CHAMPIGNY SUR MARNE
2013-09686;Guinguette du Martin Pêcheur;Tourisme et Handicap;Restaurant;M. Dupin;martin-pecheur@guinguette.fr;http://www.guinguette.fr;149830302;;"auditif ; visuel ; moteur ; mental";94500;41 quai Victor Hugo;Ile-de-France;VAL-DE-MARNE;CHAMPIGNY SUR MARNE
2013-09687;Ecomusée du Val de Bièvre;Tourisme et Handicap;Lieu de visite;Mme Tordjman;ecomusee@agglo-valdebievre.fr;http://www.agglo-valdebievre.fr;141243222;;"auditif ; mental";94260;Ferme de Cottainville 41 rue Maurice Ténine;Ile-de-France;VAL-DE-MARNE;FRESNES
2013-09688;Playmobil Fun Park;Tourisme et Handicap;;M. Allain;funpark@playmobil.fr;http://www.playmobil-funpark.fr;149849444;;"auditif ; visuel ; moteur ; mental";94260;22-24 rue des Jachères;Ile-de-France;VAL-DE-MARNE;FRESNES
2013-09689;Hôtel Ibis Porte d'Italie;Tourisme et Handicap;Hôtel;M. Lion;H0634@accor.com;http://www.ibishotel.com;149699494;145464152;mental;94250;13 rue du Val de Marne;Ile-de-France;VAL-DE-MARNE;GENTILLY
2013-09690;Gite de M. Erwan Abbé;Tourisme et Handicap;Meublé de tourisme;M. Erwan Abbé;gitehandicapjoinvil@free.fr;http://www.gitehandicapjoinvil.free.fr;666677354;;"auditif ; mental";94340;50 rue de Paris;Ile-de-France;VAL-DE-MARNE;JOINVILLE LE PONT
2013-09691;Hôtel Ibis Nogent sur Marne;Tourisme et Handicap;Hôtel;Mme Vogelweith;H3406@accor.com;http://www.ibishotel.com;143243737;143248404;mental;94130;1 rue de Nazaré;Ile-de-France;VAL-DE-MARNE;NOGENT SUR MARNE
2013-09692;Centre de Congrès Les Esselières;Tourisme et Handicap;;M. Delmont;evenementiel@semgest.fr;http://www.semgest.fr;149583040;149583049;mental;94800;3 bd Chastenet de Géry;Ile-de-France;VAL-DE-MARNE;VILLEJUIF
2013-09693;Guinguette Auvergnate;Tourisme et Handicap;Restaurant;M. Vic;contact@guinguette-auvergnate.fr;http://www.guinguette-auvergnate.fr;143890464;143898217;"auditif ; visuel ; moteur ; mental";94190;19 avenue de Choisy;Ile-de-France;VAL-DE-MARNE;VILLENEUVE SAINT GEORGES
2013-09694;Centre culturel Pompidou;Tourisme et Handicap;Lieu de visite;M. Laurent Lafon;carbanou@vincennes.fr;http://www.vincennes.fr;143986500;;"auditif ; moteur ; mental";94300;142 rue de Fontenay;Ile-de-France;VAL-DE-MARNE;VINCENNES
2013-09697;Gite des Trois Forêts;Tourisme et Handicap;Meublé de tourisme;M. Robert Dequaire;robert.dequaire@wanadoo.fr;"http://www;clevacances.com";134087883;;"auditif ; moteur ; mental";95560;34 rue Jean Nicolas;Ile-de-France;VAL-D'OISE;BAILLET-EN-FRANCE
2013-09698;Base de Loisirs de Cergy Neuville - hébergement;Tourisme et Handicap;;M. Nicolas Cook;contact@basedeloisirs95.com;;;;;;;;;
;http://www.basedeloisirs95.com;130302155;130308795;95000;Rue de l'Etang;Ile-de-France;VAL-D'OISE;CERGY PONTOISE;;;;;;
2013-09700;Restaurant Hippopotamus;Tourisme et Handicap;Restaurant;M. Raguin;praguin@aol.com;http://www.hippopotamus.fr;134441240;134441241;"mental ; moteur ; visuel";95131;326 rue du Général Leclerc;Ile-de-France;VAL-D'OISE;FRANCONVILLE
2013-09701;Restaurant Tablapizza;Tourisme et Handicap;Restaurant;M. Raguin;praquin@aol.com;http://www.tablapizza.com;134142393;134142891;moteur;95132;326 rue du Général Leclerc;Ile-de-France;VAL-D'OISE;FRANCONVILLE
2013-09702;Salle de réception La Grange du Tulipier;Tourisme et Handicap;;M. Odile Huppe Degrave;contact@la-grange-au-tulipier.fr;;134674035;;"auditif ; moteur ; mental";95450;5 rue Saint Nicolas;Ile-de-France;VAL-D'OISE;GUIRY EN VEXIN
2013-09703;Office de Tourisme de L'Isle Adam;Tourisme et Handicap;Office de tourisme;Mme Tellier;o.t.isle-adam@wanadoo.fr;http://www.tourisme-isle-adam.net;134694199;134080979;"mental ; moteur";95290;18 avenue des Ecuries de Conti;Ile-de-France;VAL-D'OISE;ISLE-ADAM (L')
2013-09704;Musée d'Archéologie Archéa;Tourisme et Handicap;Lieu de visite;Mme Grenault;archea-info@roissy-online.com;http://www.archea-roissyportedefrance.fr;134090102;;"auditif ; mental ; moteur";95380;56 rue de Paris;Ile-de-France;VAL-D'OISE;LOUVRES
2013-09705;Restaurant Le Chiquito;Tourisme et Handicap;Restaurant;M. Mihura;lechiquito@free.fr;http://www.lechiquito.fr;130364023;130364222;"auditif ; mental ; moteur";95540;3 rue de l'Oise;Ile-de-France;VAL-D'OISE;MÉRY SUR OISE
2013-09715;Chambre d'hôtes Chez Ciné;Tourisme et Handicap;Chambre d'hôtes;Mme Lamoureux;francine@chezcine.fr;http://www.chezcine.fr;139818411;;"auditif ; moteur ; mental";95110;8 rue de Cernay;Ile-de-France;VAL-D'OISE;SANNOIS
2013-09717;Restaurant Le Rohan;Tourisme et Handicap;Restaurant;M. Médici;restaurantlerohan@yahoo.fr;http://www.lerohan.com;130392580;;"auditif ; mental ; moteur";95450;1 place Amboise;Ile-de-France;VAL-D'OISE;VIGNY
2013-09718;CVR Gîtes ruraux;Tourisme et Handicap;Meublé de tourisme;Mme Clamy;gitesruraux.cvr@wanadoo.fr;http://www.gitesclamycvr.facite.com;590221543;590220692;"auditif ; mental";97121;2 rue Stéphane Francisqquain;Guadeloupe;GUADELOUPE;ANSE BERTRAND
2013-09719;Aquarium de la Guadeloupe;Tourisme et Handicap;;M. Godoc;info@aquariumdelaguadeloupe.com;http://www.aquariumdelaguadeloupe.com;590909238;590934362;moteur;97190;Place Créole La Marina;Guadeloupe;GUADELOUPE;GOSIER
2013-09720;Parc National de la Guadeloupe - Cascade aux Ecrevisses;Tourisme et Handicap;Lieu de visite;M. Denis Girou;jean-sebastien.nicolas@guadeloupe-parcnational.fr;http://www.guadeloupe-parcnational.fr;590808600;590800546;"auditif ; mental ; moteur";97120;Habitation Beausoleil Montéran BP 93;Guadeloupe;GUADELOUPE;SAINT CLAUDE
2013-09721;Meublé de tourisme Nid Kreyol;Tourisme et Handicap;Meublé de tourisme;Mme Datil;nidkreyol@gmail.com;http://www.nidkreyol.com;690887602;;"auditif ; mental ; moteur";97118;BP 138;Guadeloupe;GUADELOUPE;SAINT FRANCOIS
2013-09725;Centre International de Séjour;Tourisme et Handicap;Hébergement collectif;M.Remy;info@cis-martinique.com;http://www.cis-martinique.com;596390909;;"auditif ; mental ; moteur ; visuel";97200;Rue Ernest Hemingway Etang z'abricot;Martinique;MARTINIQUE;FORT DE FRANCE
2013-09731;Gîte Les Chrysalides;Tourisme et Handicap;Meublé de tourisme;M. José Idmont;delphine_dal@hotmail.fr;;262255805;262255805;mental;97413;5A rue des Trois Mares;Réunion;ILE  DE LA REUNION;CILAOS
2013-09732;Le Dimitile Hôtel;Tourisme et Handicap;Hôtel;M. Philippe Schwartz;direction@dimitile.eu;http://www.dimitile.eu;26239200;262247011;"mental ; moteur";97414;30 rue Bras Long;Réunion;ILE  DE LA REUNION;ENTRE-DEUX (L')
2013-09733;Hôtel Mercure Creolia;Tourisme et Handicap;Hôtel;Mme Dominique Derrien;h1674-GM@accor.com;http://www.mercure.com;262942626;262942727;mental;97400;14 rue du Stade-Montgaillard;Réunion;ILE  DE LA REUNION;SAINT DENIS
2013-09734;Musée Léon Dierx;Tourisme et Handicap;Lieu de visite;Mme Nassimah Dindar;musee.dierx@cg974.fr;http://www.cg974.fr;262202482;262218287;"moteur ; mental";97400;18 rue de Paris;Réunion;ILE  DE LA REUNION;SAINT DENIS
2013-09735;Musée La Saga du Rhum;Tourisme et Handicap;Lieu de visite;Mme Danièle Le Normand;sagadurhum@sagadurhum.fr;http://www.sagadurhum.fr;262358190;262356092;"visuel ; moteur ; mental ; auditif";97453;Chemin Frédeline BP 354;Réunion;ILE  DE LA REUNION;SAINT PIERRE
2014-01026;Maison des Mémoires - Centre Joe Bousquet;Tourisme et Handicap;Lieu de visite;Mme Prat;centrejoebousquet@wanadoo.fr;http://;468725083;468725083;"mental ; moteur";11000;53 rue de Verdun;Languedoc-Roussillon Midi-Pyrénées;AUDE;CARCASSONNE
2014-01027;Gite Zig Zag Parc;Tourisme et Handicap;Meublé de tourisme;M.Papie;chambre@zigzagparc.fr;http://www.zigzagparc.fr;326039288;;"auditif ; moteur ; visuel";51360;1 rue Jeanne d'Arc Courmelois;Alsace Champagne-Ardenne Lorraine;MARNE;VAL-DE-VESLE
2016-00263;Office de tourisme de Beziers;Tourisme et Handicap;Office de tourisme;Mme Thomas;marieclairethomas@beziers-mediterranee.com;http://www.beziers-mediterranee.com;499413636;;"auditif ; mental ; moteur ; visuel";34500;Place du Forum;Languedoc-Roussillon Midi-Pyrénées;HERAULT;BÉZIERS
2016-00264;AEROSCOPIA;Tourisme et Handicap;Lieu de visite;Mme Peris;fabienne.peris@manatour.fr;http://www.musee.aeroscopia.fr;534398874;;"auditif ; mental ; moteur ; visuel";31700;6 rue Roger Bételle;Languedoc-Roussillon Midi-Pyrénées;HAUTE-GARONNE;BLAGNAC
2016-00265;Maison du Parc National;Tourisme et Handicap;Lieu de visite;M.Peyron;pnp.aure@espaces-naturels.fr;http://www.parc-pyrenees.com;562394094;562396364;"auditif ; mental ; moteur ; visuel";65170;Place de la Mairie;Languedoc-Roussillon Midi-Pyrénées;HAUTES-PYRENEES;SAINT LARY SOULAN
2016-00266;Gite de la Boel;Tourisme et Handicap;Meublé de tourisme;M.Letendre;"thierry;letendre@wanadoo.fr";http://;681198844;;"auditif ; mental ; moteur";76280;2 rue des Partages;Normandie;SEINE-MARITIME;CRIQUETOT-L'ESNEVAL
2016-00267;Gite de la Veillerie;Tourisme et Handicap;Meublé de tourisme;M.Letendre;thierry.letendre@wanadoo.fr;http://;681198844;;"auditif ; mental";76280;2 rue des Partages;Normandie;SEINE-MARITIME;CRIQUETOT-L'ESNEVAL
2014-00016;Gite Le Clos Roman;Tourisme et Handicap;Meublé de tourisme;Mme Faucher;faucher.sandrine@orange.fr;http://;235975844;;"auditif ; mental ; moteur ; visuel";76740;2 rue Ruissel;Normandie;SEINE-MARITIME;HOUDETOT
2014-00017;Gite La Maison de l'Ange;Tourisme et Handicap;Meublé de tourisme;M.Miles;gitejumieges@gmail.com;http://;235373917;;"auditif ; mental";76480;3 rue de la Marche;Normandie;SEINE-MARITIME;JUMIÈGES
2014-00020;Restaurant le M;Tourisme et Handicap;Restaurant;Mme Dayme;contact@hoteldelamarée.com;http://www.hoteldelamaree.com;546098002;546098825;"auditif ; mental ; moteur ; visuel";17940;321 rue Albert Sarrault;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;RIVEDOUX PLAGE
2014-00021;Office municipal de Tourisme de Jonzac;Tourisme et Handicap;Office de tourisme;M.Belot;tourisme.jonzac@wanadoo.fr;http://www.villedejonzac.fr;546484929;546485107;"auditif ; mental ; moteur ; visuel";17502;22 Place du château;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;JONZAC
2014-00022;Gite La Nature au Balcon;Tourisme et Handicap;Meublé de tourisme;;nicolasraynaud6702@nordnet.fr;http://;616652802;;"auditif ; mental ; visuel";16310;Chassat;Aquitaine Limousin Poitou-Charentes;CHARENTE;VERNEUIL
2014-00023;Chambres d'hôtes les Noyers du Soleil;Tourisme et Handicap;Chambre d'hôtes;Mme Roth;felijasmin@yahoo.fr;http://www.lesnoyersdusoleil.fr;492219456;;"auditif ; mental ; moteur";5000;Hameau des Guérins;Provence Alpes-Côte d'Azur;HAUTES-ALPES;BÂTIE VIEILLE (LA)
2014-00024;Office de tourisme du Canton de Montendre;Tourisme et Handicap;Office de tourisme;Mme Brossard;officedetourisme.cantonmontendre@wanadoo.fr;http://www.montendre-tourisme.fr;546494645;546861249;"auditif ; mental ; moteur";17130;Maison du Canton 1 Place de l'Eglise;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;MONTENDRE
2014-00025;Chambres d'hôtes le Cul d'Anon;Tourisme et Handicap;Chambre d'hôtes;Mme Alexandre;"brig.alexandre@orange;fr";http://www.leculdanon.fr;545320450;;"auditif ; mental ; moteur ; visuel";16720;15 route de Segonzac;Aquitaine Limousin Poitou-Charentes;CHARENTE;SAINT-MEME-LES-CARRIERES
2014-00026;Office de tourisme de Bourganeuf;Tourisme et Handicap;Office de tourisme;Mme Borau;eaux-tours@wanadoo.fr;http://www.ot-bourganeuf.fr;555641220;;"mental ; moteur";23400;Place du Champ de Foire;Aquitaine Limousin Poitou-Charentes;CREUSE;BOURGANEUF
2014-00027;Gite;Tourisme et Handicap;Meublé de tourisme;M.Legall;kepl@orange.fr;http://www.locationsaintsamsone-monsite.com;298673317;;"auditif ; mental ; visuel";29630;21 route de Perhérel Saint Samson;Bretagne;FINISTERE;PLOUGASNOU
2014-00029;Gite du Brin d'herbe;Tourisme et Handicap;Meublé de tourisme;Mme Tissot;annie@gitedubrindherbe.fr;http://www.gitedubrindherbe.fr;381694401;;"auditif ; mental ; moteur ; visuel";25300;Grange Simon Pion;Bourgogne Franche-Comté;DOUBS;PONTARLIER
2014-00030;Gite Tygoaer;Tourisme et Handicap;Meublé de tourisme;;tygoaer.legite@gmail.com;http://;298915757;;"auditif ; mental";39710;Place des 3 Ormes;Bretagne;FINISTERE;LANDUDEC
2014-00031;Camping Ty Nevez;Tourisme et Handicap;Camping;Mme Boureau;camping-ty-nenez@wanadoo.fr;http://www.lorient-camping.com;297325116;297324377;"auditif ; mental ; moteur";56620;Route de Lorient;Bretagne;MORBIHAN;PONT-SCORFF
2014-00032;Gite Chardonnay;Tourisme et Handicap;Meublé de tourisme;M.Birot;domaine@saintmartindeschamps.com;http://www.saintmartindeschamps.com;467329258;467378449;"auditif ; mental ; moteur";34490;Route de Puimisson;Languedoc-Roussillon Midi-Pyrénées;HERAULT;MURVIEL LES BÉZIERS
2014-00033;Gite Viognier;Tourisme et Handicap;Meublé de tourisme;M.Birot;domaine@saintmartindeschamps.com;http://www.saintmartindeschamps.com;467329258;467378449;"auditif ; mental ; moteur";34490;Route de Puimisson;Languedoc-Roussillon Midi-Pyrénées;HERAULT;MURVIEL LES BÉZIERS
2014-00034;Gite Domaine Prade Mari;Tourisme et Handicap;Meublé de tourisme;M.Mari;domainedelaprade@wanadoo.fr;http://www.laprademari;468912245;531600836;"auditif ; mental";34210;Hameau de la Prade;Languedoc-Roussillon Midi-Pyrénées;HERAULT;AIGNE
2014-00035;Gite du Mortalanes;Tourisme et Handicap;Meublé de tourisme;M.Varvou;varvou.sandra@aliceadsl.fr;http://;254392737;;"auditif ; mental ; moteur ; visuel";36220;27 La Borde;Centre -  Val de Loire;INDRE;TOURNON SAINT MARTIN
2014-00036;Magasin et Atelier Fruitière du Plateau Arboisien;Tourisme et Handicap;Structure diverse;;contact@comte-arbois.com;http://www.comte-arbois.com;384660971;;"auditif ; mental ; moteur ; visuel";39600;1 rue des Fossés;Bourgogne Franche-Comté;JURA;ARBOIS
2014-00037;Restaurant Bar Le Relais de la Foret;Tourisme et Handicap;Restaurant;M.Tariolle;arnaud.tariolle@wanadoo.fr;http://;233304421;233372933;"auditif ; mental ; moteur ; visuel";61700;Le Bourg;Normandie;ORNE;DOMPIERRE
2014-00038;Office de tourisme du Béarn des Gaves;Tourisme et Handicap;Office de tourisme;M.Vandevoorde;salies@bearndesgaves.com;http://www.tourisme-bearn-gaves.com;559380033;559380295;"auditif ; mental ; visuel";64270;18 rue de la Trompe;Aquitaine Limousin Poitou-Charentes;PYRENEES-ATLANTIQUES;SALIES DE BÉARN
2014-00039;Gite La Cabane de Léna;Tourisme et Handicap;Meublé de tourisme;M.Lebrun;contact@lacabanedelena.fr;http://www.lacabanedelena.fr;954254113;;"auditif ; mental ; moteur ; visuel";62320;9 rue Roger Maréchal;Nord-Pas de Calais Picardie;PAS-DE-CALAIS;ACHEVILLE
2014-00040;Gite La Ferme en Pierre;Tourisme et Handicap;Meublé de tourisme;M.Fourdinier;guy.fourdinier@wanadoo.fr;;321149404;;"auditif ; mental ; moteur";62630;1 Hameau de Fromessent;Nord-Pas de Calais Picardie;PAS-DE-CALAIS;ETAPLES
2014-00041;Camping Le Bois Groult;Tourisme et Handicap;Camping;M.Leclercq;leclercq.gilbert0643@orange.fr;http://www.leboisgroult.fr;321333216;;"auditif ; mental ; moteur";62142;120 Impasse du Bois Groult;Nord-Pas de Calais Picardie;PAS-DE-CALAIS;HENNEVEUX
2014-00042;Hôtel Nemo;Tourisme et Handicap;Hôtel;Mme Pastor;hotel.nemo64@hotel.fr;http://www.hotel-nemo.fr;559309909;;"auditif ; mental ; moteur ; visuel";64230;41 rue de Bruscos;Aquitaine Limousin Poitou-Charentes;PYRENEES-ATLANTIQUES;SAUVAGNON
2014-00043;Office de tourisme de Saint Jean Pied de Port;Tourisme et Handicap;Office de tourisme;;saint.jean.pied.de.port@wanadoo.fr;http://www.pyrenees-basques.com;559370357;559373491;"auditif ; mental ; moteur ; visuel";64220;14 Place Général de Gaulle;Aquitaine Limousin Poitou-Charentes;PYRENEES-ATLANTIQUES;SAINT JEAN PIED DE PORT
2014-00044;Office de tourisme de Neufchatel Hardelot;Tourisme et Handicap;Office de tourisme;M.D'Aubreby;;http://;321835102;321918460;"mental ; moteur";62152;476 Avenue Francois 1er;Nord-Pas de Calais Picardie;PAS-DE-CALAIS;NEUFCHATEL-HARDELOT
2014-00045;Office de Tourisme de Saint Pee Sur Nivelle;Tourisme et Handicap;Office de tourisme;M.Peyo;tourismestpee64@orange.fr;http://www.saint-pee-sur-nivelle.com;559541169;55985858638;"auditif ; mental ; moteur ; visuel";64310;Rue Karrika Place du Fronton;Aquitaine Limousin Poitou-Charentes;PYRENEES-ATLANTIQUES;SAINT PEE SUR NIVELLE
2014-00046;Salle d'exposition Espace Nature Culture Château Lambert;Tourisme et Handicap;Structure diverse;M.Claude;enc@parc-ballons-vosges.fr;http://www.parc-ballons-vosges.fr;384204984;;"mental ; moteur ; visuel";70440;Chateau Lambert;Bourgogne Franche-Comté;HAUTE-SAONE;HAUT-DU-THEM-CHATEAU-LAMBERT
2014-00047;Hôtel ibis Le Mans est;Tourisme et Handicap;Hôtel;M.Le Du;h0704@accor.com;http://www.accorhotels.com;243861414;243841021;"mental ; moteur";72100;Rue Clément Marot;Pays de la Loire;SARTHE;MANS (LE)
2014-00048;Gite de la Forge Fleurie;Tourisme et Handicap;Meublé de tourisme;Mme Olagnier;laforgefleurie@orange.fr;http://www.laforgefleurie.fr;549670240;;"auditif ; mental ; moteur ; visuel";79290;1 bis la Forge Fleurie Fronteau;Aquitaine Limousin Poitou-Charentes;DEUX-SEVRES;BOUILLE-SAINT-PAUL
2014-00049;Office de Tourisme du Pays Calaisien;Tourisme et Handicap;Office de tourisme;M.Harmand;payscalaisien@wanadoo.fr;http://www.officedetourisme-payscalaisien.fr;243358295;243351513;"auditif ; mental ; moteur ; visuel";72120;Place de l'Hotel de Ville;Pays de la Loire;SARTHE;SAINT-CALAIS
2014-00050;Office de tourisme du Pays du Coquelicot;Tourisme et Handicap;Office de tourisme;M.Beauvarlet;officedetourisme@paysducoquelicot.com;http://www.tourisme.paysducoquelicot.com;322751642;;"auditif ; mental ; moteur";80303;9 rue Léon Gambetta;Nord-Pas de Calais Picardie;SOMME;ALBERT
2014-00051;Gite les Boissonnets;Tourisme et Handicap;Meublé de tourisme;M.Blanchard;b.stephs@hotmail.fr;;251319285;;"auditif ; mental ; moteur";85320;Les Boissonnets;Pays de la Loire;VENDEE;MOUTIERS-SUR-LE-LAY
2014-00120;Restaurant Beer's and Co;Tourisme et Handicap;Restaurant;M.Plouviez;beersandco@orange.fr;http://;320670459;;"auditif ; mental ; moteur";59650;219 Boulevard de Tournai;Nord-Pas de Calais Picardie;NORD;VILLENEUVE D'ASCQ
2014-00121;Gite La Prairie;Tourisme et Handicap;Meublé de tourisme;Mme Sacre;beatrice.sacre@wanadoo.fr;http://;320595689;;"auditif ; mental";59710;Chemin de Molpas;Nord-Pas de Calais Picardie;NORD;PONT-A-MARCQ
2014-00122;Best Western Hotel Eurociel Montpellier;Tourisme et Handicap;Hôtel;M.Pouvreau;info@hoteleurociel.fr;http://www.hoteleurociel.fr;467075161;467270561;"auditif ; mental ; moteur";34000;1 avenue du Pont Juvenal;Languedoc-Roussillon Midi-Pyrénées;HERAULT;MONTPELLIER
2014-00123;Office de tourisme de Chateauroux Sud Berry;Tourisme et Handicap;Office de tourisme;M.Mory;accueil@chateauroux-tourisme.com;"http://www;chateauroux-tourisme.com";254341074;254275797;"auditif ; mental ; moteur ; visuel";36000;1 Place de la gare;Centre -  Val de Loire;INDRE;CHÂTEAUROUX
2014-00124;Restaurant Au Chalet;Tourisme et Handicap;Restaurant;;contact@restaurant-au-chalet.com;http://www.restaurant-au-chalet.com;384255704;;"auditif ; mental ; moteur ; visuel";39130;2 route du Lac;Bourgogne Franche-Comté;JURA;BONLIEU
2014-00125;Chambres d'hotes Joelia;Tourisme et Handicap;Chambre d'hôtes;M.Jarny;;http://;;;"auditif ; mental ; moteur";44210;48 rue Maison Vigneux;Pays de la Loire;LOIRE-ATLANTIQUE;SAINTE MARIE LA MER
2014-00126;Village Vacances La Turballe;Tourisme et Handicap;Village de vacances;Mme Charpentier;ccolas@vvfvillages.fr;http://vvfvillages.fr;240628165;240234477;"auditif ; mental ; moteur ; visuel";44450;Boulevard de la Grande Falaise;Pays de la Loire;LOIRE-ATLANTIQUE;TURBALLE (LA)
2014-00127;Gite de groupe des Robines;Tourisme et Handicap;Meublé de tourisme;M.Serra;contact@gitedesrobines.com;http://www.gitedesrobines.com;4192342607;;"mental ; moteur";4330;Le Village;Provence Alpes-Côte d'Azur;ALPES-DE-HAUTE-PROVENCE;TARTONNE
2014-00128;Maison d'hôtes Coté Bordeaux;Tourisme et Handicap;Chambre d'hôtes;M.Ducrot;cotebordeaux33@gmail.com;http://www.cotebordeaux.com;631025466;;"auditif ; mental";33670;20 Chemin du Rez au Ruzat;Aquitaine Limousin Poitou-Charentes;GIRONDE;SADIRAC
2014-00129;Hotel d'Arcins;Tourisme et Handicap;Hôtel;Mme Dutournier;hotel.arcins@orange.fr;http://www.hotel-arcins.com;556201527;;"auditif ; mental ; moteur ; visuel";33360;11 bis avenue de la Libération;Aquitaine Limousin Poitou-Charentes;GIRONDE;LATRESNE
2014-00130;Chambre d'hôtes La Grange de Mailhac;Tourisme et Handicap;Chambre d'hôtes;M.Taulelle;dany.taulelle16@orange.fr;http://www.grangedemailhac.com;466241031;;"auditif ; mental ; moteur";30430;La Grange de Mailhac;Languedoc-Roussillon Midi-Pyrénées;GARD;BARJAC
2014-00131;Meublé Auprès du Verger;Tourisme et Handicap;Meublé de tourisme;Mme Poulet;jacqueline.poulet@aliceadsl.fr;http://www.aupresdesvignes.fr;381592632;;"auditif ; mental ; moteur ; visuel";;4 Route de Suchaux;;DOUBS;ECHEVANNES
2014-00132;Hotel Restaurant Le Manoir d'Elles;Tourisme et Handicap;Hotel-restaurant;M.Pin;lemanoirdelles@hotel-restaurant-manoir.fr;http://www.hotel-restaurant-manoir.fr;553625404;553523893;"auditif ; mental ; moteur ; visuel";24800;Le Bigeau;Aquitaine Limousin Poitou-Charentes;DORDOGNE;SAINT-ROMAIN-ET-SAINT-CLEMENT
2014-00133;Meublé de tourisme Les Jardins d'Hestia;Tourisme et Handicap;Meublé de tourisme;M.Violeau;famillevioleau@orange.fr;http://www.gites-de-france-atlantique.com;546952732;;"auditif ; mental ; moteur ; visuel";17260;26 rue de l'Eglise;Aquitaine Limousin Poitou-Charentes;CHARENTE-MARITIME;MONTPELLIER-DE-MEDILLAN
2014-00134;Musée de la Métallurgie Ardennaise;Tourisme et Handicap;Lieu de visite;M.Pilardeau;contactmma08@voila.fr;http://www.musee-metallurgie-ardennes.fr;324350671;;"mental ; moteur ; visuel";8120;103 rue de la Vallée;Alsace Champagne-Ardenne Lorraine;ARDENNES;BOGNY-SUR-MEUSE
2014-00652;Le Grand Café;Tourisme et Handicap;Restaurant;M.Bourcier;le.grand.cafe@orange.fr;http://www.legrandcafebordeaux.fr;556526110;;"auditif ; mental";33000;65 Cours de l'Intendance;Aquitaine Limousin Poitou-Charentes;GIRONDE;BORDEAUX
2014-00142;Usine hydroélectrique des Claux;Tourisme et Handicap;Lieu de visite;Mme Garcia;j.garcia@cc-paysdesecrins.com;http://www.paysdesecrins.com;492231117;492230409;"auditif ; mental ; moteur ; visuel";5340;Les Claux;Provence Alpes-Côte d'Azur;HAUTES-ALPES;PELVOUX
2014-00143;Hotel Restaurant Les Jardins de Brantome;Tourisme et Handicap;Hotel-restaurant;M.Dupuy;lesjardinsdebrantome@gmail.com;http://www.lesjardinsdebrantome.com;553058816;;"auditif ; mental ; moteur ; visuel";24310;33 rue Pierre de Mareuil;Aquitaine Limousin Poitou-Charentes;DORDOGNE;BRANTOME
2014-00144;Office de tourisme de Reims Site de la Gare;Tourisme et Handicap;Office de tourisme;Mme Ziata;y.ziata@reims-tourisme.com;http://www.reims-tourisme.com;326030781;;"auditif ; mental ; moteur ; visuel";51100;Cours de la Gare;Alsace Champagne-Ardenne Lorraine;MARNE;REIMS
2014-00145;Musée Utah Beach;Tourisme et Handicap;Lieu de visite;M.Millet;musee@utah-beach.com;http://www.utah-beach.com;233715335;233719236;"auditif ; mental ; moteur ; visuel";50480;;Normandie;MANCHE;SAINTE MARIE DU MONT
2014-00146;La Becterie - Chambres d'hôtes;Tourisme et Handicap;Chambre d'hôtes;M.Darroux;darrouxjm@club-internet.fr;http://www.la-becterie.com;233040815;;"auditif ; mental ; moteur ; visuel";50260;150 rue de la Becterie;Normandie;MANCHE;QUETTETOT
